,xval,Level I,Level II,Level III,Level IV,Level V
85,9.164262119,4.4853512019999995,4.090300646,3.67498096,2.8446576360000004,1.6153574419999999
86,9.247595452,4.485359609,4.091640295,3.68423495,2.847779234,1.614612664
87,9.330928785,4.4853672289999995,4.0929344389999995,3.693488941,2.8509008319999998,1.613867885
88,9.414262119,4.485374134,4.094184621,3.7027429310000004,2.85402243,1.613123106
89,9.497595452,4.485380393,4.095392337,3.711996922,2.857144028,1.6123783269999998
90,9.580928785,4.485386065,4.096559027,3.721250912,2.8602656260000003,1.611633549
91,9.664262119,4.485391205,4.097686087,3.730504903,2.863387224,1.61088877
92,9.747595452,4.485395864,4.098774861,3.7397588930000003,2.8665088219999997,1.610143991
93,9.830928785,4.4854000869999995,4.099826651,3.749012884,2.86963042,1.6093992119999998
94,9.914262119,4.485403913,4.1008427119999995,3.758266874,2.872752017,1.608654434
95,9.997595452,4.485407381,4.10182426,3.767520865,2.875873615,1.607909655
96,10.08092879,4.485410525,4.102772465,3.776774855,2.878995213,1.607164876
97,10.16426212,4.485413373,4.10368846,3.7860288460000002,2.8821168110000004,1.606420097
98,10.24759545,4.485415955,4.10457334,3.795282836,2.885238409,1.6056753190000002
99,10.33092879,4.485418295,4.105428162,3.8045368269999997,2.8883600069999997,1.60493054
100,10.41426212,4.485420415,4.106253946,3.813790818,2.891481605,1.6041857609999999
101,10.49759545,4.485422337,4.10705168,3.823044808,2.894603203,1.603440982
102,10.58092879,4.4854240789999995,4.107822315,3.8322987989999997,2.8977248010000003,1.6026962040000001
103,10.66426212,4.4854256580000005,4.108566773,3.8415527889999996,2.900846398,1.601951425
104,10.74759545,4.485427088,4.109285942,3.85080678,2.9039679960000004,1.6012066459999998
105,10.83092879,4.485428385,4.109980681000001,3.86006077,2.907089594,1.600461867
106,10.91426212,4.48542956,4.1106518219999995,3.869314761,2.910211192,1.599717089
107,10.99759545,4.485430625,4.111300164,3.8785687510000004,2.91333279,1.59897231
108,11.08092879,4.48543159,4.111926483,3.887822742,2.916454388,1.598227531
109,11.16426212,4.485432465,4.112531526000001,3.897076732,2.9195759860000003,1.597482752
110,11.24759545,4.4854332580000005,4.113116017,3.906330723,2.922697584,1.596737974
111,11.33092879,4.485433977,4.113680653,3.9155847130000003,2.925819181,1.595993195
112,11.41426212,4.485434628,4.114226109,3.924838704,2.928940779,1.595248416
113,11.49759545,4.485435218,4.114753037,3.934092694,2.932062377,1.5945036369999999
114,11.58092879,4.485435753,4.115262065,3.943346685,2.935183975,1.593758859
115,11.66426212,4.485436238,4.1157538019999995,3.952600675,2.938305573,1.59301408
116,11.74759545,4.485436677,4.116228836,3.9618546660000002,2.9414271710000004,1.592269301
117,11.83092879,4.485437075,4.116687733,3.971108656,2.944548769,1.5915245219999998
118,11.91426212,4.485437436000001,4.117131042,3.9803626469999998,2.9476703669999997,1.590779744
119,11.99759545,4.485437763,4.117559292,3.9896166369999997,2.950791965,1.590034965
